id,accommodates,bedrooms,bathrooms,beds,price,security_deposit,cleaning_fee,minimum_nights,maximum_nights,number_of_reviews
7087327,4,1.0,1.0,2.0,160.0,100.0,115.0,1,1125,0
975833,6,3.0,3.0,3.0,350.0,0.0,100.0,2,30,65
8249488,1,1.0,2.0,1.0,50.0,0.0,0.0,2,1125,1
8409022,2,1.0,1.0,1.0,95.0,0.0,0.0,1,1125,0
8411173,4,1.0,1.0,1.0,50.0,450.0,15.0,7,1125,0
8634774,4,2.0,1.0,4.0,99.0,0.0,0.0,1,1125,0
8498095,4,2.0,2.0,2.0,100.0,150.0,50.0,3,1125,0
8513660,2,1.0,1.0,1.0,100.0,0.0,0.0,1,1125,0
8298145,2,1.0,1.5,1.0,38.0,0.0,0.0,2,180,1
295345,2,1.0,0.0,1.0,71.0,0.0,10.0,2,365,4
1745866,4,2.0,1.5,2.0,97.0,250.0,50.0,4,1125,5
7678268,1,1.0,1.0,1.0,55.0,100.0,0.0,3,1125,1
8457865,2,1.0,1.0,1.0,50.0,150.0,20.0,2,14,0
6757134,2,0.0,1.0,1.0,99.0,0.0,125.0,7,1125,0
295346,2,1.0,0.0,1.0,60.0,0.0,10.0,2,1125,2
8479636,2,1.0,1.0,1.0,52.0,0.0,0.0,1,1125,1
2310297,1,1.0,1.0,1.0,23.0,0.0,5.0,1,1125,1
6556520,2,1.0,1.0,2.0,200.0,100.0,0.0,1,1125,0
8519782,4,2.0,1.0,2.0,40.0,0.0,0.0,1,1125,0
8606980,2,1.0,1.0,1.0,135.0,0.0,0.0,1,1125,0
8485995,2,1.0,1.0,1.0,100.0,0.0,0.0,1,1125,0
8607216,2,1.0,1.0,1.0,225.0,0.0,0.0,1,1125,0
8568945,7,4.0,3.0,3.0,129.0,99.0,99.0,14,1125,0
333613,1,1.0,1.0,1.0,149.0,0.0,0.0,3,31,46
1026034,4,1.0,1.0,2.0,150.0,100.0,30.0,2,365,84
2486785,4,1.0,1.5,1.0,175.0,0.0,25.0,1,1125,25
1822257,3,2.0,1.0,2.0,239.0,0.0,50.0,5,1125,4
5220279,4,1.0,1.0,2.0,65.0,0.0,0.0,2,1125,2
3419118,2,1.0,1.0,1.0,71.0,0.0,12.0,2,14,83
805961,2,1.0,1.0,1.0,80.0,0.0,0.0,1,1125,19
3362,4,1.0,2.5,3.0,250.0,0.0,0.0,1,730,94
93551,2,1.0,1.0,1.0,138.0,250.0,50.0,1,365,47
68962,2,1.0,1.0,1.0,94.0,0.0,0.0,2,21,150
3469191,5,2.0,2.5,2.0,283.0,500.0,120.0,3,1125,15
6778286,3,1.0,1.0,3.0,127.0,0.0,0.0,3,16,0
495042,6,1.0,1.0,3.0,79.0,0.0,0.0,1,365,69
7220873,3,1.0,1.0,1.0,110.0,0.0,0.0,1,1125,1
