id,id,host_listings_count,host_response_rate,host_acceptance_rate,accommodates,bedrooms,bathrooms,beds,price,security_deposit,cleaning_fee,minimum_nights,maximum_nights,number_of_reviews,neighbourhood_cleansed,latitude,longitude
7087327,7087327,26,92%,91%,4,1.0,1.0,2.0,$160.00 ,$100.00 ,$115.00 ,1,1125,0,"Capitol Hill, Lincoln Park",38.89004639,-77.0028081
975833,975833,1,90%,100%,6,3.0,3.0,3.0,$350.00 ,,$100.00 ,2,30,65,"Capitol Hill, Lincoln Park",38.88041282,-76.99048487
8249488,8249488,2,90%,100%,1,1.0,2.0,1.0,$50.00 ,,,2,1125,1,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",38.95529092,-76.98600574
8409022,8409022,1,100%,,2,1.0,1.0,1.0,$95.00 ,,,1,1125,0,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",38.87213388,-77.01963879
8411173,8411173,1,92%,67%,4,1.0,1.0,1.0,$50.00 ,$450.00 ,$15.00 ,7,1125,0,"Colonial Village, Shepherd Park, North Portal Estates",38.99638163,-77.04154101
8634774,8634774,1,100%,100%,4,2.0,1.0,4.0,$99.00 ,,,1,1125,0,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",38.86248633,-77.01506201
8498095,8498095,1,100%,,4,2.0,2.0,2.0,$100.00 ,$150.00 ,$50.00 ,3,1125,0,"Takoma, Brightwood, Manor Park",38.97473766,-77.02707576
8513660,8513660,1,100%,,2,1.0,1.0,1.0,$100.00 ,,,1,1125,0,"Woodridge, Fort Lincoln, Gateway",38.94148563,-76.96848475
8298145,8298145,8,94%,99%,2,1.0,1.5,1.0,$38.00 ,,,2,180,1,"Capitol View, Marshall Heights, Benning Heights",38.88010496,-76.91903054
295345,295345,9,100%,100%,2,1.0,,1.0,$71.00 ,,$10.00 ,2,365,4,"Takoma, Brightwood, Manor Park",38.97559245,-77.01071326
1745866,1745866,1,100%,100%,4,2.0,1.5,2.0,$97.00 ,$250.00 ,$50.00 ,4,1125,5,"Takoma, Brightwood, Manor Park",38.98006671,-77.01553790000001
7678268,7678268,1,88%,100%,1,1.0,1.0,1.0,$55.00 ,$100.00 ,,3,1125,1,"Colonial Village, Shepherd Park, North Portal Estates",38.99593775,-77.03614117
8457865,8457865,1,,,2,1.0,1.0,1.0,$50.00 ,$150.00 ,$20.00 ,2,14,0,"Colonial Village, Shepherd Park, North Portal Estates",38.99204996,-77.04652369
6757134,6757134,7,68%,73%,2,0.0,1.0,1.0,$99.00 ,,$125.00 ,7,1125,0,"Colonial Village, Shepherd Park, North Portal Estates",38.99022645,-77.02981677
